ano_dado,variavel,linhas,nao_ausentes,minimo,maximo,ausentes
2020,educ_abandono_fundamental_anos_finais_pct,5570,5561,0.0,100.0,9
2020,educ_abandono_fundamental_anos_iniciais_pct,5570,5562,0.0,100.0,8
2020,educ_abandono_fundamental_pct,5570,5566,0.0,100.0,4
2020,educ_abandono_medio_pct,5570,5561,0.0,40.7,9
2020,educ_aprovacao_fundamental_anos_finais_pct,5570,5561,0.0,100.0,9
2020,educ_aprovacao_fundamental_anos_iniciais_pct,5570,5562,0.0,100.0,8
2020,educ_aprovacao_fundamental_pct,5570,5566,0.0,100.0,4
2020,educ_aprovacao_medio_pct,5570,5561,56.1,100.0,9
2020,educ_reprovacao_fundamental_anos_finais_pct,5570,5561,0.0,40.8,9
2020,educ_reprovacao_fundamental_anos_iniciais_pct,5570,5562,0.0,17.0,8
2020,educ_reprovacao_fundamental_pct,5570,5566,0.0,27.0,4
2020,educ_reprovacao_medio_pct,5570,5561,0.0,36.9,9
2020,impostos_liquidos_mil_reais,5570,5570,395.847,124329616.291,0
2020,pib_mil_reais,5570,5570,16739.798,746909329.587,0
2020,pib_per_capita_reais,5570,5570,4920.64,590594.94,0
2020,populacao,5571,5570,776.0,12325232.0,1
2020,vab_administracao_publica_mil_reais,5570,5570,8946.774,111267001.381,0
2020,vab_agropecuaria_mil_reais,5570,5570,0.0,3533041.014,0
2020,vab_industria_mil_reais,5570,5570,440.048,57439419.23,0
2020,vab_servicos_mil_reais,5570,5570,2544.995,519161240.706,0
2020,vab_total_mil_reais,5570,5570,16343.951,622579713.296,0
2021,cempre_pessoal_assalariado_ate2021,5570,5570,57.0,5013099.0,0
2021,cempre_pessoal_ocupado_ate2021,5570,5570,75.0,5852375.0,0
2021,cempre_remuneracoes_mil_reais_ate2021,5570,5570,885.0,305596726.0,0
2021,cempre_salario_medio_salarios_minimos_ate2021,5570,5570,1.0,5.9,0
2021,cempre_unidades_locais_ate2021,5570,5570,6.0,681246.0,0
2021,educ_abandono_fundamental_anos_finais_pct,5570,5570,0.0,32.2,0
2021,educ_abandono_fundamental_anos_iniciais_pct,5570,5570,0.0,21.0,0
2021,educ_abandono_fundamental_pct,5570,5570,0.0,20.8,0
2021,educ_abandono_medio_pct,5570,5561,0.0,50.1,9
2021,educ_aprovacao_fundamental_anos_finais_pct,5570,5570,52.5,100.0,0
2021,educ_aprovacao_fundamental_anos_iniciais_pct,5570,5570,70.7,100.0,0
2021,educ_aprovacao_fundamental_pct,5570,5570,67.4,100.0,0
2021,educ_aprovacao_medio_pct,5570,5561,37.1,100.0,9
2021,educ_reprovacao_fundamental_anos_finais_pct,5570,5570,0.0,41.3,0
2021,educ_reprovacao_fundamental_anos_iniciais_pct,5570,5570,0.0,28.2,0
2021,educ_reprovacao_fundamental_pct,5570,5570,0.0,27.3,0
2021,educ_reprovacao_medio_pct,5570,5561,0.0,60.0,9
2021,impostos_liquidos_mil_reais,5570,5570,434.177,168184034.18,0
2021,pib_mil_reais,5570,5570,18051.06,828980746.586,0
2021,pib_per_capita_reais,5570,5570,5406.47,920828.36,0
2021,populacao,5571,5570,771.0,12396372.0,1
2021,vab_administracao_publica_mil_reais,5570,5570,8459.631,116809197.663,0
2021,vab_agropecuaria_mil_reais,5570,5570,0.0,5004238.725,0
2021,vab_industria_mil_reais,5570,5570,-477324.132,65616070.066,0
2021,vab_servicos_mil_reais,5570,5570,2712.951,549767525.142,0
2021,vab_total_mil_reais,5570,5570,-227725.728,660796712.406,0
2022,alfabetizacao_15mais_censo2022_pct,5570,5570,63.19,99.1,0
2022,analfabetismo_15mais_atlas_pct,5570,5570,0.9000000000000057,36.81,0
2022,area_km2,5570,5570,3.565,159533.306,0
2022,cempre_pessoal_assalariado_desde2022,5570,5570,21.0,5271059.0,0
2022,cempre_pessoal_ocupado_desde2022,5570,5570,92.0,6728485.0,0
2022,cempre_remuneracoes_mil_reais_desde2022,5570,5570,360.0,358000278.0,0
2022,cempre_unidades_locais_desde2022,5570,5570,32.0,1114100.0,0
2022,densidade_hab_km2,5570,5570,0.15,13416.81,0
2022,educ_abandono_fundamental_anos_finais_pct,5570,5570,0.0,22.6,0
2022,educ_abandono_fundamental_anos_iniciais_pct,5570,5570,0.0,8.9,0
2022,educ_abandono_fundamental_pct,5570,5570,0.0,14.1,0
2022,educ_abandono_medio_pct,5570,5563,0.0,37.8,7
2022,educ_aprovacao_fundamental_anos_finais_pct,5570,5570,43.3,100.0,0
2022,educ_aprovacao_fundamental_anos_iniciais_pct,5570,5570,68.5,100.0,0
2022,educ_aprovacao_fundamental_pct,5570,5570,64.1,100.0,0
2022,educ_aprovacao_medio_pct,5570,5563,42.4,100.0,7
2022,educ_reprovacao_fundamental_anos_finais_pct,5570,5570,0.0,56.4,0
2022,educ_reprovacao_fundamental_anos_iniciais_pct,5570,5570,0.0,26.7,0
2022,educ_reprovacao_fundamental_pct,5570,5570,0.0,35.7,0
2022,educ_reprovacao_medio_pct,5570,5563,0.0,53.8,7
2022,impostos_liquidos_mil_reais,5570,0,,,5570
2022,pib_mil_reais,5570,5570,21017.664,945946482.808,0
2022,pib_per_capita_reais,5570,5570,6757.48,842004.6,0
2022,populacao,5570,5570,833.0,11451999.0,0
