variavel_original,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Q36,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Q37,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Q38,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Q39,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Q40,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Q41,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Q42,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Q43,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Q44,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Q45,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Q46,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Q47,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Q48,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Q49,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Q50,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Q51,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Q52,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Q53,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Q54,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Q55,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Q56,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Q57,True,False,False,False,False,False,False,False,False,False,False,False,False,False
SG_UF_ENTIDADE_CERTIFICACAO,False,True,True,True,True,True,True,False,False,False,False,False,False,False
SG_UF_ESC,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SG_UF_PROVA,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TP_ANO_CONCLUIU,False,True,True,False,True,True,True,True,True,True,True,True,True,True
TP_COR_RACA,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TP_DEPENDENCIA_ADM_ESC,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TP_ENSINO,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TP_ESCOLA,False,True,True,True,True,True,True,True,True,True,True,True,True,True
TP_ESTADO_CIVIL,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TP_FAIXA_ETARIA,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TP_LINGUA,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TP_LOCALIZACAO_ESC,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TP_NACIONALIDADE,False,False,False,True,True,True,True,True,True,True,True,True,True,True
TP_PRESENCA_CH,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TP_PRESENCA_CN,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TP_PRESENCA_LC,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TP_PRESENCA_MT,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TP_SEXO,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TP_SIT_FUNC_ESC,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TP_STATUS_REDACAO,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TP_ST_CONCLUSAO,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TX_GABARITO_CH,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TX_GABARITO_CN,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TX_GABARITO_LC,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TX_GABARITO_MT,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TX_RESPOSTAS_CH,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TX_RESPOSTAS_CN,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TX_RESPOSTAS_LC,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TX_RESPOSTAS_MT,True,True,True,True,True,True,True,True,True,True,True,True,True,True
